id;nom;prenom;ages;salaires;bonus%;conges
0;Hudson;Sheila;18;7288;2;5
1;Powers;Noelle;27;8976;3;1
2;Boone;Duncan;63;7154;4;4
3;Velasquez;Zena;66;5926;0;2
4;Miranda;Timon;39;10222;10;3
5;Russo;Blaine;53;12404;9;3
6;Alford;Ignacia;70;7458;8;5
7;Woodard;Leroy;20;9290;6;5
8;Alvarez;Zeph;33;7822;7;0
9;Reid;Mollie;34;6406;7;5
10;Nunez;Honorato;32;13883;5;3
11;Barton;Armando;61;13449;8;2
12;Lindsey;Yael;40;5618;6;3
13;Kidd;Kendall;57;7992;4;6
14;Castillo;Rebecca;61;5249;10;1
15;Koch;Tatyana;27;14624;3;3
16;Walter;Vera;42;10225;9;5
17;Kerr;Hilda;73;9139;1;5
18;Rivas;Kuame;27;6745;3;5
19;Riley;Lenore;24;13973;6;3
20;Hurley;Paloma;50;6336;10;0
21;Mckenzie;Marshall;57;7605;4;4
22;Barr;Serina;41;10384;3;3
23;Adkins;Ronan;62;11007;9;6
24;Lancaster;Hilda;72;10461;1;0
25;Phelps;Dante;55;14072;3;6
26;Rogers;Zenia;16;5673;7;6
27;Gilliam;Iliana;47;10487;7;2
28;Gallagher;Morgan;45;14637;2;3
29;Duffy;Cheyenne;68;6672;4;1
30;Johns;Kay;70;9038;7;1
31;Beasley;Ian;28;12647;1;1
32;Bryan;Jaden;30;13765;10;6
33;Brock;Samson;21;7438;7;4
34;Howe;Linus;27;8732;2;0
35;Fuentes;Darryl;48;5748;5;0
36;Hale;Jordan;46;12214;8;5
37;Park;Haviva;67;6655;8;3
38;Rodriquez;Demetria;47;14763;4;4
39;Vazquez;Anika;52;6230;5;5
40;Potter;Serina;48;10050;5;6
41;Ferrell;Callie;68;9337;4;3
42;Luna;Michael;55;6349;4;1
43;Guy;Elijah;18;13925;4;5
44;Foley;Tad;70;11768;8;1
45;Moreno;Cedric;47;11671;2;0
46;Richards;Darius;58;14013;3;3
47;Tanner;Jessamine;66;6416;5;3
48;Williamson;Kelsie;68;11420;7;5
49;Mathews;Amity;60;5352;6;3
50;Bird;Cora;74;6490;6;4
51;Salazar;Herman;55;5538;8;1
52;Shaffer;Deanna;61;10334;0;1
53;Campos;Bert;49;14884;1;5
54;Middleton;Xaviera;31;9762;5;4
55;Sykes;Theodore;65;12009;2;6
56;Donaldson;Octavius;64;5074;10;1
57;Barry;Lacota;33;13003;4;1
58;Garner;Velma;27;8394;6;5
59;Cross;Halla;36;13061;9;0
60;Burke;Harper;44;14911;8;2
61;Austin;Carson;63;13525;10;0
62;Payne;Piper;61;8286;0;6
63;Lang;Amethyst;59;5187;5;2
64;Fleming;Isadora;64;14277;8;0
65;Barton;Eric;43;12470;7;2
66;Meyers;Wendy;61;7165;4;1
67;Walls;Sheila;27;14152;3;5
68;Sweeney;Zachery;25;8606;6;5
69;Craft;Odessa;63;9779;0;6
70;Livingston;Aretha;35;14605;5;3
71;Perkins;Beck;20;11604;2;2
72;Phelps;Alyssa;25;9819;1;5
73;Livingston;Chaim;75;13836;4;0
74;Parks;Ifeoma;51;6825;6;2
75;Dillon;Sonia;62;14049;0;1
76;Ramos;Levi;64;10310;3;6
77;Cruz;Quinn;39;14446;3;5
78;Tyler;Tarik;59;10671;2;5
79;Hood;Lucas;36;8370;8;0
80;Baxter;Dominique;40;7895;2;1
81;Gaines;Hasad;56;5634;3;3
82;Chapman;Clark;17;12905;5;0
83;Ortiz;Hilary;68;5513;10;3
84;Burgess;Demetria;62;7982;4;6
85;Valenzuela;Marvin;18;11831;7;5
86;Ramirez;Rama;58;8434;7;0
87;Patton;Sage;72;9982;8;4
88;Gross;Addison;66;13426;2;0
89;Guerra;Hammett;43;6104;2;4
90;Sullivan;Lucas;24;7925;6;5
91;Bray;Buffy;59;12204;9;5
92;Waller;Jesse;37;14329;5;6
93;Hill;Charlotte;16;8890;4;2
94;Tyler;Yoshio;57;11566;4;3
95;Lewis;Hamish;54;5293;10;1
96;Conway;Justin;46;13548;1;2
97;Webster;Azalia;40;8081;1;1
98;Gibbs;Allistair;62;9058;8;6
99;Obrien;Len;24;13924;2;6
100;Stark;Allegra;67;6844;3;4
101;Clemons;Reece;45;9820;4;2
102;Guthrie;Quincy;26;11798;5;6
103;Roth;Dominic;39;6581;3;3
